localizacion,titulo,descripcion_corta,precio,detalles
Antiguo Cuscatlán, Se vende Santa Elena privado,Casa de dos plantas en residencial privada Zona fusades cochera para dos vehículos sala comedor loby comedor cocina con pantry jardín amplio con terraza área de servicio completa ...,"
$415,000 ","
,
274 m,
,
4,
,
2,
,
4"
Usulután," Casa en Venta en Residencial Haciendas de La Riviera, Usulután","Casa en Venta en privado, Usulután
Ubicación: Residencial Haciendas de La Riviera, sobre Carretera El Litoral, entre desvío Santa Elena y Texaco La Montañita, rumbo ...","
$65,900 ","
,
40 m,
,
2,
,
2,
,
1"
San Salvador, VENTA DE APARTAMENTO EN ALTOS TOWER EXCELENTE OPORTUNIDAD DE INVERSION,"Excelente oportunidad de inversión en 72 Metros, actualmente full airbnb bien calificado, se vende equipado, amueblado y con cartera de clientes. ubicado en lugar muy exclusivo y ...","
$235,000 ","
,
72 m,
,
2,
,
2,
,
2"
Antiguo Cuscatlán," SE VENDE - Casa en Santa Elena, Antiguo Cuscatlán, Residencial Casa Linda. Privado.","Residencial privada muy cercana a la Embajada Americana.
Magnífico estado de mantenimiento y remodelación.
PRIMER NIVEL:
Cochera techada para dos vehículos.
Cisterna con equipo ...","
$285,000 ","
,
142 m,
,
4,
,
2,
,
3"
Santa Tecla, Apartamento tipo flat en Ciudad Merliot,"Sobre Cl. El jabalí. Entrada que sube a la Sabana.
Lugar seguro y accesible. Bajos impuestos, sin pagos de mantenimiento.
En caso de financiamiento las cuotas serían ...","
$50,000 ","
,
35 m,
,
1,
,
Más,
,
1"
Nuevo Cuscatlán, VENDO CASA POR LA EMBAJADA AMERICANA,"CONSTA DE:
2 PLANTAS
PRIMERA PLANTA:
ESTUDIO
SALA, COMEDOR, COCINA
ÁREA DE SERVICIO COMPLETA
TERRAZA Y AGRADABLE JARDÍN
COCHERA 4 VEHÍCULOS
SEGUNDA PLANTA:
3 HABITACIONES, ...","
$475,000 ","
,
300 m,
,
4,
,
4,
,
3"
San Salvador, Casa de 5 habitaciones + Estudio en Lomas de Altamira,"Área total: 810Mtrs o 1195Vrs.
Construcción: 620 Mtrs
1er nivel:
Cochera 4 vehículos, Agradable jardín frontal, Vestíbulo con tragaluz jardinizado. Sala principal, Amplio ...","
$875,000 ","
,
620 m,
,
6,
,
5,
,
3"
San Salvador," VENTA DE CASA, COL. ESCALON PARA REMODELAR","VENTA DE CASA, COL. ESCALON PARA REMODELAR
Arriba de redondel Luceiro, 2 cuadras abajo de Escuela Panamericana.
Casa para remodelar a su gusto, con diseño moderno y de espacios ...","
$375,000 ","
,
375 m,
,
4,
,
10,
,
5"
San Salvador, VENTA DE APARTAMENTO EN SANTA ROSA,"A puerta cerrada
Actualmente funcionando en Airbnb, con alta tasa de ocupación y de rentabilidad
Amplia e iluminada sala
Cocina abierta y moderna
Jardín
Habitación principal ...","
$219,000 ","
,
65 m,
,
1,
,
1,
,
1"
La Libertad, VENDO CASA A REPARAR EN LA HACIENDA.,"IDEAL PARA INVERSION! A LA VENTA SOLO POR DOS SEMANAS!!!
UBICADA EN RESIDENCIAL PRIVADA, A POCOS MINUTOS DE SURF CITY.
CONDOMINIO OFRECE: CASA CLUB, PISCINA, GIMNASIO, SALON DE ...","
$147,500 ","
,
234 m,
,
3,
,
4,
,
4"
Colón, CASA EN VILLA LOURDES COLON,"Casa de esquina bien ubicada a orilla de calle, área de cochera p/2 vehículos, puerta balcón, ventanas francesas, 2 hab. Con area para hacer otra, sala y comedor amplios ...","
$49,900 ","
,
112 m,
,
2,
,
2,
,
1"
San Salvador," SE VENDE APARTAMENTO, TORRE VIA AURORA","Apartamento cerca de la Universidad Evangelica
Area: 74.72 mts2
Cuenta con :
* Dos habitaciones con closet y A/A
* Dos baños
* Sala-comedor
* Terraza
* Área de lavandería
* 1 ...","
$190,000 ","
,
74 m,
,
2,
,
1,
,
2"
Mejicanos, VENDO CASA CERCA DEL CONSTITUCION. CON TRES RENTAS,"EXCELENTE OPORTUNIDAD. PONGA SU DINERO A TRABAJAR DONDE NUNCA SE PIERDE. Vendo casa para vivir y tener rentas o solo como negocio. Con el Debido respeto NO INTERMEDIARIOS, solo trato ...","
$185,000 ","
,
150 m,
,
3,
,
3"
San Salvador, SE VENDE APARTAMENTO EN ESCALÓN ESTILO MODERNO,"SE VENDE APARTAMENTO EN ESCALÓN ESTILO MODERNO
Área apartamento: 108.93Mts2
Área total: 133.93Mts2
+ 2 parqueos de 12.50Mts2 cada uno, haciendo los dos 25Mts2 (uno de ellos bajo ...","
$265,000 ","
,
134 m,
,
3,
,
2,
,
3"
Ahuachapán, CASA DE CAMPO EN VENTA EN EL CENTRO DE APANECA,"Hermosa casa de campo en el pueblo de apaneca, cuenta con excelente ubicación enfrente al parque, clima agradable.
Cuenta con amplios jardines y estacionamiento.
Ideal para ...","
$750,000 ","
,
400 m,
,
5,
,
8,
,
4"
San Salvador, Venta de casa en La Cima 4 San Salvador,"Venta de casa en La Cima 4 San Salvador
Venta de casa en La Cima 4, de un solo nivel, remodelada y en residencial privado
Características:
- Residencial privado
- 75 Mts2 de ...","
$120,000 ","
,
75 m,
,
2,
,
1,
,
2"
Ayutuxtepeque, VENDO CASA SANTISIMA TRINIDAD AYUTUXTEPEQUE,"Casa libre de gravamen, recibos y alcaldia pagados al dia. El Agua (ANDA) cae todo el dia. Mide 5 mts de frente x 10 mt de fondo (50 mt2). Cerca de Universidad Nacional y colegios. ...","
$1.00 ","
,
50 m,
,
3,
,
1"
Ahuachapán, Venta de casa en Ahuachapán Residencial Haciendas del Mediterráneo,"Venta de casa en Ahuachapán Residencial Haciendas del Mediterráneo
Venta de casa nueva de un nivel en residencial privado con seguridad las 24 horas en la entrada al departamento de ...","
$35,000 ","
,
75 m,
,
2,
,
2,
,
1"
El Salvador," CASA NUEVA EN RIVERSIDE PARK, San Miguel","Se vende casa recién construida en Riverside Park San Miguel
- Medidas 10 Mts al frente x 35 Mts de fondo
- Sala amplia
- Cocina-comedor
- Área de Cocina con gabinetes y cocina ...","
$240,000 ","
,
160 m,
,
3,
,
3,
,
2"
San Salvador, SE VENDE APARTAMENTO EN TORRE TRIANA 11o NIVEL,"SE VENDE APARTAMENTO EN TORRE TRIANA 11o NIVEL
La propiedad cuenta con:
- 2 habitaciones
- 2 baños completo
- Cuarto de servicio con baño completo
- Sala comedor y cocina en un ...","
$360,000 ","
,
120 m,
,
2,
,
2,
,
2"
San Salvador, Venta de Casa en Cima IV,"¡Venta de Casa en Cima IV!
Construcción: 75m²
Colonia: Privada
Características:
Cuartos: 2
Baños: 2
Garaje: Para 1 carro
Jardín: Incluido
Cocina: Con mueble incluido
Precio: ...","
$120,000 ","
,
75 m,
,
2,
,
1,
,
2"
Santa Tecla, VENTA CASA PUERTA REAL SANTA TECLA,"Tipo Almeria
2 niveles
3 habitaciones:
Principal walk in closeth, aire acondicionado y baño completo.
Habitaciones 2 y 3 cada uno con closeth, aire acondicionado y comparten ...","
$415,000 ","
,
1 m,
,
3,
,
3,
,
3"
Ahuachapán, Venta de casa en Ahuachapán - Amplia y a orilla de calle principal,"Casa con verja al frente y zona verde, lo que permite tener un espacio seguro para descansar con vista a la calle.
Terreno amplio, con un área de 242.8m2 ó 346V2 propio para hacer ...","
$68,000 ","
,
242 m,
,
2,
,
1,
,
1"
San Salvador, SE VENDE CASA EN COLONIA FLOR BLANCA,"Se vende hermosa casa con espacios amplios y acogedores, ubicada en una de las zonas privilegiadas y de alta plusvalía de San Salvador, inmediata a importantes centros comerciales, ...","
$310,000 ","
,
355 m,
,
3,
,
2,
,
2"
Antiguo Cuscatlán," VENDO CASA DE 510 VARAS EN COLONIA SAN BENITO. IDEAL PARA INVERSIONISTAS, OFICINAS O CLINICAS","VENDO CASA DE 510 VARAS DE TERRENO Y 325 METROS DE CONSTRUCCION EN LA COLONIA SAN BENITO, IDEAL PARA CLINICAS, VIVIENDA, OFICINAS O INVERSIONISTAS.","
$450,000 ","
,
325 m,
,
4,
,
3,
,
4"
Santa Ana, LAGO COATEPEQUE QUINTA RECIÉN REMODELADA,VENDO PRECIOSA QUINTA EN EL LAGO DE COATEPEQUE FRENTE AL LAGO RECIEN REMODELADA 400 METROS CUADRADOS DE TERRENO 572 VARAS CUADRADAS DE TERRENO CUENTA CON -3 HABITACIONES TODAS CON A/C ...,"
$335,000 ","
,
400 m,
,
3,
,
3,
,
2"
San Salvador, VENTA DE CASA EN ESCALON EXCLUSIVO 4 HABITACIONES AMPLIAS CADA UNA CON SU BAÑO,"Venta de casa moderna en colonia Escalón dentro de condominio privado Mallorca muy exclusivo, zona Luceiro, de 3 niveles y Roof Top con vista espectacular al volcán de San Salvador ...","
$375,000 ","
,
300 m,
,
5,
,
3,
,
6"
Santa Ana," VENDO CASA DE 12 METROS DE FRENTE Y 17 METROS DE FONDO EN RESID. TENERIFE, CIUDAD REAL, SANTA ANA","VENDO CASA DE 12 METROS DE FRENTE Y 17 METROS DE FONDO (290 VARAS DE TERRENO) EN RESIDENCIAL TENERIFE 4, CIUDAD REAL, SANTA ANA. TIENE AMPLIO JARDIN INTERNO, AREA DE SERVICIO, 2 BAÑOS, ...","
$92,000 ","
,
130 m,
,
3,
,
3,
,
2"
San Salvador, VENDO APARTAMENTO REMODELADO EN LA ZONA ALTA DE COLONIA ESCALON. 2 PARQUEOS,"VENDO APARTAMENTO REMODELADO EN CONDOMINIO VISTAS DEL CARMEN, EN LA ZONA ALTA DE LA COLONIA ESCALON. TIENE 3 HABITACIIONES CON CLOSET Y AIRE ACONDICIONADO CADA UNA (LA PRINCIPAL CON ...","
$245,000 ","
,
110 m,
,
3,
,
2,
,
3"
Santa Tecla," VENDO CASA EN RESIDENCIAL CONDADO SANTA ROSA, SANTA TECLA, LA LIBERTAD","VENDO CASA EN RESIDENCIAL CONDADO SANTA ROSA, SANTA TECLA, LA LIBERTAD. 1 NIVEL: COCHERA TECHADA PARA 2 VEHICULOS, BAÑO SOCIAL, SALA, COMEDOR, AREA DE COCINA CON DESAYUNADOR PANTI Y ...","
$395,000 ","
,
200 m,
,
3,
,
2,
,
3"
San Salvador," VENDO CASA NUEVA A 2 MINUTOS DE LA UNIVERSIDAD EVENGELICA, CERCA DE FINAL ALAMENDA JUAN PABLO II","VENDO CASA NUEVA DE 300 VARAS DE TERRENO Y 200 METROS DE CONSTRUCCION A 2 MINUTOS DE LA UNIVERSIDAD EVENGELICA, CERCA DE FINAL ALAMEDA JUAN PABLO II. TIENE COCHERA PARA 2 VEHICULOS, ...","
$230,000 ","
,
200 m,
,
3,
,
2,
,
4"
San Salvador, CASA DE UN NIVEL EN VENTA EN COLONIA SAN FRANCISCO,"Hermosa casa en venta en Colonia San Francisco
Cuenta con:
Una habitación principal con baño completo y walking closet
Dos Habitaciones con closet y baño completp (una habitación ...","
$898,500 ","
,
3,
,
5,
,
5"
La Paz, CASA DE PLAYA EN VENTA EN VILLA OCEANICA COSTA DEL SOL,"Hermosa casa en Venta en exclusiva Residencial Villa Oceanica ubicada en Km. 71 sobre el Boulevard Costa del Sol.
Primer nivel:
-Sala con A/C
-Comedor
-Terraza Hamaquera
-Baño ...","
$475,000 ","
,
266 m,
,
5,
,
8,
,
4"
San Salvador, APARTAMENTO EN VENTA EN CONDOMINIO LAS TERRAZAS,"Espectacular apartamento en exclusivo Condominio Las Terrazas en el corazón de la Colonia San Benito
Cuenta con:
256.71m2
-Amplio vestíbulo
- Espacio flex con baño ...","
$495,000 ","
,
257 m,
,
2,
,
2,
,
2"
Zaragoza, APARTAMENTO DE LUJO EN VENTA EN TORRE FORESTA ENCANTO COUNTRY CLUB,"Espectacular Apartamento Full Moderno en exclusiva Torre Foresta cuenta con:
- Vestibulo
-Baño Social
-Cocina Abierta
-Comedor
-Sala Social
-Amplia Terraza con vista panoramica al ...","
$560,000 ","
,
263 m,
,
3,
,
2,
,
3"
Zaragoza, CASA EN VENTA EN LAS TERRAZAS DE EL ENCANTO,"Espectacular casa en las Terrazas de el Encanto en el exclusivo Encanto Country Club rodeado de naturaleza y diversión.
Tendremos 14 viviendas con terrenos desde 720v2 y 340m2 de ...","
$638,424 ","
,
340 m,
,
3,
,
2,
,
3"
Zaragoza, MANSION MINIMALISTA EN VENTA EN ENCANTO COUNTRY CLUB,"Espectacular Mansion Minimalista en el exclusivo Country Club El Encanto.
Rodeado de un hermoso campo de golf y naturaleza.
Vive la experiencia de vivir en Encanto Country Club
Esta ...","
$1,750,000 ","
,
502 m,
,
3,
,
3,
,
3"
La Unión, APARTAMENTO EN PLAYA BOUTIQUE LAS TUNAS,"Hermoso Condominio de apartamentos con espacios ideales para poder vivir, descansar y disfrutar en familia.
Ubicado a la orilla del mar en playa Las Tunas, Playas Negras, La Union, una ...","
$320,000 ","
,
161 m,
,
3,
,
2,
,
2"
Santa Ana, SE VENDE CASA RECIEN REMODELADA EN SANTA ANA. EL SALVADOR,"EN VENTA: ACTUALMENTE REMODELADA: con un área de 132 metros cuadrados. Situada en URBANIZACION RESIDENCIAL VILLA REAL III ETAPA . DISTRITO DE SANTA ANA, MUNICIPIO SANTA ANA CENTRO, ...","
$150.00 ","
,
132 m,
,
2,
,
1,
,
2"
San Salvador, VENTA CASA EN PASEO GENERAL ESCALON ZONA CC GALERIAS PARA INVERSIÓN,"Ideal Centro comercial...
V2 = 3271.55
M2 = 2286.52
Topografía plana y rectangular
Precio de venta: $2,900,000.00
Mayor información: (503)¬7899¬4278.","
$2,900,000 ","
,
2286 m,
,
10,
,
Más,
,
10"
Santa Ana, casa de campo Col. Santa Eduviges para personas retiradas lugar tranquilo.,"personas serias ,se puede negociar un poco, tiene 2 clases de electricidad, CNR.","
$21,000 ","
,
75 m,
,
2,
,
1,
,
1"
San Salvador," Venta de Bonita y amplia casa de un Nivel Colonia Centroamierca y calle Gabriela mistral,S.S.","Vendo Bonita y Amplica Casa de un nivel Colonia Centroamierca
Calle Gabriela Mistral, San Salvador
Excelente oportunidad de inversion ideal para Clinicas, oficina, Residencia u otros ...","
$325,000 ","
,
350 m,
,
3,
,
3,
,
2"
La Libertad, CASA EN CUIDAD ARCE CERCA DEL CENTRO,"SE VENDE CASA REMODELADA EN CUIDAD ARCE CERCA DEL CENTRO, BARRIO LA ESPERANZA, LA LIBERTAD. EL SALVADOR
SE VENDE CASA EN CUIDAD ARCE, UBICADA EN EL BARRIO LA ESPERANZA, CALLE FRANCISCO ...","
$49,000 ","
,
156 m,
,
1,
,
2,
,
1"
Quezaltepeque," Casa en Venta Residencial Bella Granada, Quezaltepeque","En venta casa una planta Residencial Bella Granada.
Residencial privada vigilancia 24/7
Casa Club
Piscina
Área verdes,arborizadas, amplias calles.
Descripción
Una Planta
Cochera ...","
$95,000 ","
,
120 m,
,
3,
,
2,
,
2"
San Salvador," Casa en venta Merliot, Antiguo Cuscatlán","Con vigilancia privada
3 niveles
Actualmente se usa como restaurante y vivienda
Terreno: 226.85V2 = 158.55Mts2
Cochera techada para un vehículo, alrededor de la casa se puede ...","
$350,000 ","
,
400 m,
,
7,
,
Más,
,
6"
San Salvador, Casa en venta Escalón parte alta muy bonita,"Con buen mantenimiento
Ventilada e iluminada
Muchos detalles
Espacios amplios
2 niveles
Terreno: 909.29 V2
Construcción: 467 m2
Primer Nivel:
- Cochera para 3 vehículos
Jardín ...","
$610,000 ","
,
467 m,
,
3,
,
3,
,
4"
San Salvador, Vendo terreno con diseño en cumbres de Cuscatlan," SE VENDE TERRENO EN CUMBRES DE CUSCATLÁN, PRIVADO
**Características:**
- **Área:** 1,348 varas cuadradas
- **Dimensiones:** 21 metros de frente x 59.6 metros de fondo
- **Precio:** ...","
$283,000 ","
,
1348 m,
,
2,
,
3,
,
3"
Antiguo Cuscatlán, PUERTA DEL ALMA (APARTAMENTO EN VENTA ),"Venta Apto
Puerta del alma
136 mts2
Piso alto
Torre 1
3 habitaciones
Principal con baño y WC
Las otras 2 comparten
Area de servicio y lavado
Cocina
Sala
Comedor
Parqueo 2 ...","
$447,000 ","
,
136 m,
,
3,
,
2,
,
2"
Santa Ana, VENTA CASA NUEVA SANTA ISABEL SANTA ANA,"Venta de casa nueva por cementerio Santa Isabel
La casa cuenta con
Cochera para dos vehículos
Sala-Comedor-Cocina concepto abierto
Baño social
Área de aseo. Con pila
Área ...","
$125,000 ","
,
180 m,
,
3,
,
2,
,
2"
Colón, CASA EN VENTA RESIDENCIAL JACARANDAS LAS ARBOLEDAS LOURDES,"Estimado cliente:
Tenemos el agrado de poner a su disposición la venta de este inmueble, que estamos seguros llenara sus expectativas de calidad de vida.
Está ubicado en la ...","
$187,000 ","
,
200 m,
,
3,
,
2,
,
2"
Apopa, Casa amplia y remodelada en venta cerca del periférico de Apopa!,Casa amplia y remodelada de cinco habitaciones cada una con baño. Ubicada a tan pocos minutos del periférico de Apopa con fácil acceso a la carretera de Oro. Cerca de Plaza Mundo y ...,"
$160,000 ","
,
280 m,
,
5,
,
2,
,
6"
Colón," SE VENDE CASA EN COLONIA LA ESPERANZA, COLON, LA LIBERTAD","SE VENDE CASA EN COLONIA LA ESPERANZA, COLON.
3 HABITACIONES
3 BAÑOS
COCHERA PARA I VEHÍCULO
2 SALAS
Área de construcción: 135 m² aprox.
Amplio terreno: 299.23 m² (o 428.13 ...","
$120,000 ","
,
135 m,
,
3,
,
1,
,
3"
San Salvador," Apartamento en venta, Escalón","En 6to nivel
Vista espectacular
Moderno
Buen mantenimiento
Ventilado e iluminado
Área apartamento: 119.08Mts2
+ un parqueo: 12.70Mts2 y el otro parqueo de 12.80Mts.
Área ...","
$300,000 ","
,
119 m,
,
3,
,
2,
,
3"
Santa Tecla, CASA EN VENTA URBANIZACION LAS COLINAS SANTA TECLA,"Ponemos a tu disposición una casa ubicada en urbanización Las Colinas en Santa Tecla, una zona muy fresca y con una ubicación estratégica ya que tiene acceso al occidente del País, ...","
$165,000 ","
,
120 m,
,
5,
,
1,
,
2"
San Salvador, Casa en Alquiler en Colonia Escalon,"Dimensiones:
Terreno Área: 638 v² o 446 mts²
Contrato: Mínimo de un año
Descripción: Casa para Vivir Semi amueblada
- Estacionamiento para 3 vehículos con portón
- ...","
$4,000 ","
,
446 m,
,
4,
,
3,
,
4"
San Salvador," VENDO TERRA ALTA(MASFERRER), AMPLIO APARTAMENTO DE 3ER NIVEL","Se vende apartamento de 155 metros de construcción en 3er nivel
en exclusiva Torre de Escalón arriba de redondel Masferrer
Cuenta con:
2 terrazas(como patio interno)
2 habitaciones ...","
$365,000 ","
,
155 m,
,
3,
,
2,
,
3"
San Salvador, CASA EN VENTA SAN SAN SALVADOR EL SALVADOR / HOUSE FOR SALE SAN SALVADOR EL SALVADOR,"Se vende preciosa casa
Precio: 255,000
Sala
Comedor
Cocina
3 habitaciones
Área de servicio
Parqueo para 2 vehículos
Área de jardines y piscina para residentes
Casera de ...","
$255,000 ","
,
1 m,
,
3,
,
2,
,
2"
San Salvador, Venta de propiedad en excelente ubicación,"Se vende propiedad en zona del Estadio Cuscatlán, Residencial Los Eliseos, super céntrica, calle privada paralela al Boulevard Los Próceres a tan solo 250 metros del Estadio, 40 ...","
$175,000 ","
,
110 m,
,
5,
,
2,
,
3"
Santa Ana, HERMOSA CASA DE LUJO EN VENTA,"Hermosa Casa de Lujo de dos niveles en VENTA, construida en el año 2014.
Ubicada en Santa Ana en Cantón Primavera.
Inversión de $399,000.00, negociables.
Área: terreno 1750 m2 ...","
$399,000 ","
,
472 m,
,
6,
,
8,
,
6"
Chalatenango," HERMOSA CASA EN VENTA, CHALATENANGO","Hermosa Casa de 3 niveles en VENTA, muy moderna que fue construida en el año 2022, ubicada en Chalatenango
Inversión $325,000.00 negociables
Zona no privado, cerca de escuelas, ...","
$325,000 ","
,
260 m,
,
4,
,
4,
,
7"
Santa Ana, GANGA para oficinas o residencia en el corazon de Santa Ana,"SE VENDE PROPIEDAD propia para oficinas o residencia , se ubica en el centro de santa ana , tiene una extencion de 10 mtrs de frente por 27 de fondo , tiene tres grandes dormitorios, ...","
$178,000 ","
,
200 m,
,
3,
,
3,
,
2"
San Salvador, Propiedad en venta con 10+ parqueos sobre Ave. Masferrer Nte,"Se vende amplia propiedad con vista hacia la ciudad de San Salvador, ubicada sobre la Ave. Masferrer norte, con 10+ estacionamientos dentro de la propiedad.
Actualmente está adecuado ...","
$670,000 ","
,
549 m,
,
2,
,
10,
,
2"
San Salvador," Vendo Casa en la Satélite, San Salvador 453.92 V²","Area total de 453.92 V² y Construccion 338 M² en 2 niveles.
1er nivel
Cochera 3 carros.
Habitaciones 4
Baños 3
Sala 1
Comedor 1
Estudio 1
Area de servicio completa.
Área de ...","
$290,000 ","
,
338 m,
,
7,
,
3,
,
4"
San Salvador," Casa en venta en Colonia Flor Blanca, privado","Se encuentra en las cercanías de FUDEM, pasaje privado. Ideal para vivienda u oficina, cuenta con seguro muro perimetral y amplios espacios que se pueden adecuar según sus ...","
$325,000 ","
,
320 m,
,
3,
,
7,
,
1"
Ilopango," GRAN OPORTUNIDA Col. Sta Eduviges, Ilopango","GRAN OPORTUNIDAD Colonia Santa Eduviges, Ilopango (contiguo a col. Sta. Lucia) Aprovecha esta oportunidad de tener tu propia casa! 3 Habitaciones 1 Baño Cosina Sala Comedor 2 accesos ...","
$59,000 ","
,
112 m,
,
3,
,
1"
Nuevo Cuscatlán, CASA EN VENTA EN CONDADO SANTA ELENA,"Descripción:
715v2
450mts2 de construcción
2 niveles
Estilo Moderno
4 habitaciones con baño cada/u
(1 de ellas en 1er nivel)
Sala
Comedor
Cocina Abierta con Barra ...","
$625,000 ","
,
450 m,
,
4,
,
3,
,
5"
Ilopango," VENDO CASA ILOPANGO, COLONIA LAS CAÑAS","Piso de ceramica nuevo en toda la casa,
3 cuartos, Amplia sala y área para comedor y cocina,
Sanitarios y lavamanos nuevo,
Pila nueva para 12 barriles ,
Area de ducha y pila techada ...","
$33,500 ","
,
60 m,
,
3,
,
2"
San Salvador, CASA EN VENTA ARCOS DE LA CIMA 4 HABITACIONES Y 3 PARQUEOS,"LA RESIDENCIA INCLUYE:
PRIMERA PLANTA
2 Parqueos techados y 1 parqueo frente a la casa
Sala independiente.
Comedor independiente.
1 pequeña bodega.
Area de estudio.
Cocina y ...","
$199,000 ","
,
145 m,
,
4,
,
3,
,
4"
San Salvador, venta de casa en Miralvalle,"*Venta de Casa de Dos Plantas en Miralvalle* *Descripción de la Propiedad:* *Ubicación:* Miralvalle, en un residencial privado. *Área de Construcción:* 143,48 m² *Distribución:* ...","
$180,000 ","
,
143 m,
,
4,
,
3,
,
3"
San Salvador, Vendo Casa en Residencial Serra Florida,"1er Nivel:
Parqueo para 3 vehículos
cisterna
Sala Familiar muy amplia
Baño social Cocina completa y moderna
Área de servicio completo y Jardín muy amplio.
2do Nivel:
3 ...","
$395,000 ","
,
300 m,
,
3,
,
3,
,
2"
San Miguel, Gran Oportunidad de Inversión Av Roosevelt San Miguel,"Oportunidad de Inversión a pocos metros de Av Roosevelt, cercano a cementerio general. Doble acceso por calle Chaparratique y final 2a calle poniente en el Barrio San Felipe. Área de ...","
$400,000 ","
,
362 m,
,
3,
,
1,
,
1"
